ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-L
025320660X;Reclaiming Paradise: The Global Environmental Movement;John McCormick;1991;Indiana University Press;http://images.amazon.com/images/P/025320660X.01.LZZZZZZZ.jpg
0253207517;Peasant Fires: The Drummer of Niklashausen;Richard Wunderli;1992;Indiana University Press;http://images.amazon.com/images/P/0253207517.01.LZZZZZZZ.jpg
0253207797;"Everyday Life in the Muslim Middle East (Indiana Series in Arab &amp; Islamic Studies)";Donna Lee Bowen;1993;Indiana University Press;http://images.amazon.com/images/P/0253207797.01.LZZZZZZZ.jpg
0253208572;Religion and Hopi Life in the Twentieth Century (Religion in North America);John D. Loftin;1994;Indiana University Press;http://images.amazon.com/images/P/0253208572.01.LZZZZZZZ.jpg
0253208742;Birding in Ohio;Tom Thomson;1994;Indiana University Press;http://images.amazon.com/images/P/0253208742.01.LZZZZZZZ.jpg
0253208793;Indiana Winter (Indiana);Susan Neville;1994;Indiana University Press;http://images.amazon.com/images/P/0253208793.01.LZZZZZZZ.jpg
025320903X;The Doubtful Strait/El Estrecho Dudoso;Ernesto Cardenal;1995;Indiana University Press;http://images.amazon.com/images/P/025320903X.01.LZZZZZZZ.jpg
025320948X;Rumba: Dance and Social Change in Contemporary Cuba (Blacks in the Diaspora);Yvonne Daniel;1995;Indiana University Press;http://images.amazon.com/images/P/025320948X.01.LZZZZZZZ.jpg
0253209579;Reflections of a Whale-Watcher;Michelle A. Gilders;1995;Indiana University Press;http://images.amazon.com/images/P/0253209579.01.LZZZZZZZ.jpg
0253209781;From Mouse to Mermaid: The Politics of Film, Gender, and Culture;Elizabeth Bell;1995;Indiana University Press;http://images.amazon.com/images/P/0253209781.01.LZZZZZZZ.jpg
0253209838;To Write Like a Woman: Essays in Feminism and Science Fiction;Joanna Russ;1995;Indiana University Press;http://images.amazon.com/images/P/0253209838.01.LZZZZZZZ.jpg
0253209862;Rachel Calof's Story: Jewish Homesteader on the Northern Plains;Rachel Calof;1995;Indiana University Press;http://images.amazon.com/images/P/0253209862.01.LZZZZZZZ.jpg
0253210216;Terrarium;Scott Russell Sanders;1996;Indiana University Press;http://images.amazon.com/images/P/0253210216.01.LZZZZZZZ.jpg
0253210585;Winfield Scott Hancock: A Soldier's Life;David M. Jordan;1996;Indiana University Press;http://images.amazon.com/images/P/0253210585.01.LZZZZZZZ.jpg
0253210909;Going All the Way;Dan Wakefield;1997;Indiana University Press;http://images.amazon.com/images/P/0253210909.01.LZZZZZZZ.jpg
0253210917;Action - The Action Movie A-Z: The Action Movie A-Z;Marshall Julius;1997;Indiana University Press;http://images.amazon.com/images/P/0253210917.01.LZZZZZZZ.jpg
0253211050;Am I Black Enough for You: Popular Culture from the 'Hood and Beyond;Todd Boyd;1997;Indiana University Press;http://images.amazon.com/images/P/0253211050.01.LZZZZZZZ.jpg
0253211190;Women in Mathematics: The Addition of Difference (Race, Gender and Science);Claudia Henrion;1997;Indiana University Press;http://images.amazon.com/images/P/0253211190.01.LZZZZZZZ.jpg
0253211328;The Wrath of Dionysus: A Novel;E. Nagrodskaia;1997;Indiana University Press;http://images.amazon.com/images/P/0253211328.01.LZZZZZZZ.jpg
0253211433;Writing from the Center;Scott Russell Sanders;1997;Indiana University Press;http://images.amazon.com/images/P/0253211433.01.LZZZZZZZ.jpg
0253211476;Cleveland: A Concise History, 1796-1990 (The Encyclopedia of Cleveland History, 1);Carol Poh Miller;1997;Indiana University Press;http://images.amazon.com/images/P/0253211476.01.LZZZZZZZ.jpg
025321162X;Singing Away the Hunger : The Autobiography of an African Woman;Mpho Matsepo Nthunya;1997;Indiana University Press;http://images.amazon.com/images/P/025321162X.01.LZZZZZZZ.jpg
0253212340;Riddley Walker;Russell Hoban;1998;Indiana University Press;http://images.amazon.com/images/P/0253212340.01.LZZZZZZZ.jpg
0253212731;The Essential Husserl: Basic Writings in Transcendental Phenomenology (Studies in Continental Thought);Edmund Husserl;1999;Indiana University Press;http://images.amazon.com/images/P/0253212731.01.LZZZZZZZ.jpg
0253213029;Go Native!: Gardening With Native Plants and Wildflowers in the Lower Midwest;Carolyn Harstad;1999;Indiana University Press;http://images.amazon.com/images/P/0253213029.01.LZZZZZZZ.jpg
0253213096;Women in Sub-Saharan Africa : Restoring Women to History (Restoring Women to History);Iris Berger;1999;Indiana University Press;http://images.amazon.com/images/P/0253213096.01.LZZZZZZZ.jpg
0253213134;The Complete Dinosaur;James O. Farlow;1999;Indiana University Press;http://images.amazon.com/images/P/0253213134.01.LZZZZZZZ.jpg
0253213177;Petrarch: The Canzoniere, or Rerum vulgarium fragmenta;Mark Musa;1999;Indiana University Press;http://images.amazon.com/images/P/0253213177.01.LZZZZZZZ.jpg
0253213584;Imagining India;Ronald B. Inden;2001;Indiana University Press;http://images.amazon.com/images/P/0253213584.01.LZZZZZZZ.jpg
0253214599;Osun Across the Waters                            : A Yoruba Goddess in;Joseph M. Murphy;2001;Indiana University Press;http://images.amazon.com/images/P/0253214599.01.LZZZZZZZ.jpg
025321470X;Trees, Shrubs, and Roses for Midwest Gardens:;Ezra Haggard;2001;Indiana University Press;http://images.amazon.com/images/P/025321470X.01.LZZZZZZZ.jpg
0253215404;Rudy Pozzatti;Norman A. Geske;2002;Indiana University of Art Museum;http://images.amazon.com/images/P/0253215404.01.LZZZZZZZ.jpg
0253215501;Starring T. rex!: Dinosaur Mythology and Popular Culture;Jose Luis Sanz;2002;Indiana University Press;http://images.amazon.com/images/P/0253215501.01.LZZZZZZZ.jpg
0253215684;Shake Down the Thunder: The Creation of Notre Dame Football;Murray Sperber;2002;Indiana University Press;http://images.amazon.com/images/P/0253215684.01.LZZZZZZZ.jpg
0253216141;Iconography: A Writer's Meditation;Susan Neville;2003;Indiana University Press;http://images.amazon.com/images/P/0253216141.01.LZZZZZZZ.jpg
0253283051;Indiana;William E. Wilson;1966;Indiana University Press;http://images.amazon.com/images/P/0253283051.01.LZZZZZZZ.jpg
0253299292;Anthology of Mexican Poetry;Octavio Paz;2002;In Univ+press;http://images.amazon.com/images/P/0253299292.01.LZZZZZZZ.jpg
025330105X;Emily Bronte (Key Women Writers);Stevie Davies;1988;Indiana Univ Pr;http://images.amazon.com/images/P/025330105X.01.LZZZZZZZ.jpg
0253306752;On Aging: Revolt and Resignation;Jean Amery;1994;Indiana University Press;http://images.amazon.com/images/P/0253306752.01.LZZZZZZZ.jpg
0253311578;Belle Gunness: The Lady Bluebeard;Janet Langlois;1985;Replica Books;http://images.amazon.com/images/P/0253311578.01.LZZZZZZZ.jpg
0253311624;Beyond the Veil: Male-Female Dynamics in Modern Muslim Society;Fatima Mernissi;1987;Indiana Univ Pr;http://images.amazon.com/images/P/0253311624.01.LZZZZZZZ.jpg
0253311810;Southern Africa;Gwendolyn Carter;1979;Indiana Univ Pr;http://images.amazon.com/images/P/0253311810.01.LZZZZZZZ.jpg
0253325064;From Karamzin to Bunin: An Anthology of Russian Short Stories;Carl R. Proffer;1969;Indiana University Press;http://images.amazon.com/images/P/0253325064.01.LZZZZZZZ.jpg
0253326877;A Banner Year at Indiana;Bob Hammel;1993;Indiana Univ Pr;http://images.amazon.com/images/P/0253326877.01.LZZZZZZZ.jpg
0253326974;Privatization and Liberalization in the Middle East (Indiana Series in Arab and Islamic Studies);Iliya Harik;1992;Indiana University Press;http://images.amazon.com/images/P/0253326974.01.LZZZZZZZ.jpg
0253329418;Writing from the Center;Scott Russell Sanders;1995;Indiana University Press;http://images.amazon.com/images/P/0253329418.01.LZZZZZZZ.jpg
025332985X;Done and Been: Steel Rail Chronicles of American Hobos;Gypsy Moon;1996;Indiana Univ Pr;http://images.amazon.com/images/P/025332985X.01.LZZZZZZZ.jpg
0253330904;Introduction to Chinese Literature;Wu-Chi Liu;1966;Indiana University Press;http://images.amazon.com/images/P/0253330904.01.LZZZZZZZ.jpg
0253331234;Doing Physics: How Physicists Take Hold of the World;Martin H. Krieger;1992;Indiana Univ Pr;http://images.amazon.com/images/P/0253331234.01.LZZZZZZZ.jpg
0253331412;In Stitches: A Patchwork of Feminist Humor and Satire;Gloria Kaufman;1991;Indiana Univ Pr;http://images.amazon.com/images/P/0253331412.01.LZZZZZZZ.jpg
0253333156;Spiritualism in Antebellum America (Religion in North America);Bret E. Carroll;1997;Indiana University Press;http://images.amazon.com/images/P/0253333156.01.LZZZZZZZ.jpg
0253333199;Gay Voices from East Germany;Jurgen Lemke;1991;Indiana University Press;http://images.amazon.com/images/P/0253333199.01.LZZZZZZZ.jpg
0253335485;Little Labels--Big Sound: Small Record Companies and the Rise of American Music;Rick Kennedy;1999;Indiana University Press;http://images.amazon.com/images/P/0253335485.01.LZZZZZZZ.jpg
0253337550;Ovid: Metamorphoses;Ovid;1955;Indiana University Press;http://images.amazon.com/images/P/0253337550.01.LZZZZZZZ.jpg
0253337739;Dinosaurs of Darkness (Life of the Past);Thomas H. Rich;2000;Indiana University Press;http://images.amazon.com/images/P/0253337739.01.LZZZZZZZ.jpg
0253338247;"Readings: Essays &amp; Literary Entertainments";Michael Dirda;2000;Indiana University Press;http://images.amazon.com/images/P/0253338247.01.LZZZZZZZ.jpg
0253338417;Cleveland: A Concise History, 1796-1990 (The Encyclopedia of Cleveland History, Vol 1);Carol Poh Miller;1990;Indiana Univ Pr;http://images.amazon.com/images/P/0253338417.01.LZZZZZZZ.jpg
0253339324;Mules and Men;Zora Neale Hurston;1978;Indiana University Press;http://images.amazon.com/images/P/0253339324.01.LZZZZZZZ.jpg
0253339642;The Armored Dinosaurs (Life of the Past);Kenneth Carpenter;2001;Indiana University Press;http://images.amazon.com/images/P/0253339642.01.LZZZZZZZ.jpg
0253340349;The Lost World of the Moa: Prehistoric Life of New Zealand;T. H. Worthy;2002;Indiana University Press;http://images.amazon.com/images/P/0253340349.01.LZZZZZZZ.jpg
0253341337;For Gold and Glory: Charlie Wiggins and the African-American Racing Car;Todd Gould;2002;Indiana University Press;http://images.amazon.com/images/P/0253341337.01.LZZZZZZZ.jpg
0253342449;On the Take: From Petty Crooks to Presidents;William J. Chambliss;1988;Indiana Univ Pr;http://images.amazon.com/images/P/0253342449.01.LZZZZZZZ.jpg
0253346827;Public Transportation and Land Use Policy;Boris and Zupan, Jeffery M. Pushkarev;1977;Indiana Univ Pr;http://images.amazon.com/images/P/0253346827.01.LZZZZZZZ.jpg
0253359406;Memory and American History;David Thelan;1990;Indiana University Press;http://images.amazon.com/images/P/0253359406.01.LZZZZZZZ.jpg
0253365430;"Newsroom Guide to Polls &amp; Surveys";G. Cleveland Wilhoit;1990;Indiana Univ Pr;http://images.amazon.com/images/P/0253365430.01.LZZZZZZZ.jpg
0253366038;Woman, Native, Other: Writing Postcoloniality and Feminism;T. Minh-Ha Trinh;1989;Indiana University Press;http://images.amazon.com/images/P/0253366038.01.LZZZZZZZ.jpg
0253372658;Haydn: His Life and Music;H.C. Robbins Landon;1988;Indiana Univ Pr;http://images.amazon.com/images/P/0253372658.01.LZZZZZZZ.jpg
0255365306;The Road to Serfdom: The Condensed Version As It Appeared in the April 1945 Edition of Reader's Digest;Friedrich A. Hayek;2001;Coronet Books Inc;http://images.amazon.com/images/P/0255365306.01.LZZZZZZZ.jpg
0256018081;Understanding social psychology (The Dorsey series in psychology);Stephen Worchel;1976;Dorsey Press;http://images.amazon.com/images/P/0256018081.01.LZZZZZZZ.jpg
0256023379;Principles of economics, micro (The Irwin series in economics);Willis L Peterson;1980;R. D. Irwin;http://images.amazon.com/images/P/0256023379.01.LZZZZZZZ.jpg
0256025274;Motion and time study (The Irwin series in management and the behavioral sciences);Benjamin W Niebel;1982;R.D. Irwin;http://images.amazon.com/images/P/0256025274.01.LZZZZZZZ.jpg
025602670X;Personality: Strategies and issues (The Dorsey series in psychology);Robert M Liebert;1982;Dorsey Press;http://images.amazon.com/images/P/025602670X.01.LZZZZZZZ.jpg
0256028532;Law of the Real Estate Business;William B French;1984;McGraw-Hill;http://images.amazon.com/images/P/0256028532.01.LZZZZZZZ.jpg
025602930X;Structured Basic: A Modular Approach for the Pdp-11 and Vax-11 (Irwin series in information and decision sciences);Steve Teglovic;1983;McGraw-Hill;http://images.amazon.com/images/P/025602930X.01.LZZZZZZZ.jpg
0256031401;Mathematics, with applications in management and economics (The Irwin series in quantitative analysis for business);Earl K Bowen;1987;Irwin;http://images.amazon.com/images/P/0256031401.01.LZZZZZZZ.jpg
0256032483;Abnormal psychology;Richard H Price;1986;Dorsey Press;http://images.amazon.com/images/P/0256032483.01.LZZZZZZZ.jpg
0256033188;Managerial accounting (The Robert N. Anthony/Willard J. Graham series in accounting);Calvin Engler;1987;Irwin;http://images.amazon.com/images/P/0256033188.01.LZZZZZZZ.jpg
0256033765;First-line management: Approaching supervision effectively;Lawrence L Steinmetz;1986;Business Publications;http://images.amazon.com/images/P/0256033765.01.LZZZZZZZ.jpg
0256036608;Introduction to Management Science;William J. Stevenson;1989;McGraw-Hill;http://images.amazon.com/images/P/0256036608.01.LZZZZZZZ.jpg
0256037175;Strategic Management: Concepts and Cases;Arthur A. Thompson;1987;Irwin Professional Publishing;http://images.amazon.com/images/P/0256037175.01.LZZZZZZZ.jpg
025605665X;Personal finance;Jack R Kapoor;1988;Irwin;http://images.amazon.com/images/P/025605665X.01.LZZZZZZZ.jpg
0256068127;Writing and Speaking in Business;Gretchen N. Vik;1990;McGraw-Hill;http://images.amazon.com/images/P/0256068127.01.LZZZZZZZ.jpg
0256068658;Reconfigurable Processor Array A Bit Sliced Parallel Computer (USA) (Irvin series in marketing);A. Rushton;1990;Irwin;http://images.amazon.com/images/P/0256068658.01.LZZZZZZZ.jpg
025608338X;Applied Linear Statistical Models: Regression, Analysis of Variance, and Experimental Designs;John Neter;1990;McGraw-Hill;http://images.amazon.com/images/P/025608338X.01.LZZZZZZZ.jpg
0256093601;Systems Analysis and Design Methods;Jeffrey L. Whitten;1994;McGraw-Hill Companies;http://images.amazon.com/images/P/0256093601.01.LZZZZZZZ.jpg
0256098778;Managerial Accounting;Ray H. Garrison;1991;Irwin;http://images.amazon.com/images/P/0256098778.01.LZZZZZZZ.jpg
0256101280;Fundamental Accounting Principles/Applications of Fundamental Accounting Principles: Clippings from the Los Angeles Times;Kermit D. Larson;1992;McGraw Hill;http://images.amazon.com/images/P/0256101280.01.LZZZZZZZ.jpg
0256106525;International Business: Introduction and Essentials;Donald A. Ball;1992;McGraw-Hill College;http://images.amazon.com/images/P/0256106525.01.LZZZZZZZ.jpg
0256110107;Managerial accounting: Concepts for planning, control, decision making (The Irwin series in undergraduate accounting);Ray H Garrison;1994;Irwin;http://images.amazon.com/images/P/0256110107.01.LZZZZZZZ.jpg
025611465X;Fap Wkprs V11 Ch 14-27 -Wb/20;Larson;1993;Irwin;http://images.amazon.com/images/P/025611465X.01.LZZZZZZZ.jpg
0256115893;Business and Society: A Managerial Approach;Heidi Vernon-Wortzel;1994;McGraw Hill College Div;http://images.amazon.com/images/P/0256115893.01.LZZZZZZZ.jpg
0256116458;Human Resource Management;Lloyd L., Ph.D. Byars;1994;McGraw Hill College Div;http://images.amazon.com/images/P/0256116458.01.LZZZZZZZ.jpg
0256117977;Economics (The Irwin Series in Economics);David N. Hyman;1993;McGraw-Hill College;http://images.amazon.com/images/P/0256117977.01.LZZZZZZZ.jpg
0256123578;Canadian Entrepreneurship and Small Business Management;D. Wesley Balderson;1994;Irwin Professional Publishing;http://images.amazon.com/images/P/0256123578.01.LZZZZZZZ.jpg
0256124531;Management: Quality and Competitiveness;John M. Ivancevich;1994;McGraw Hill College;http://images.amazon.com/images/P/0256124531.01.LZZZZZZZ.jpg
0256133255;Fap Readings Book;Larson;1992;Irwin;http://images.amazon.com/images/P/0256133255.01.LZZZZZZZ.jpg
0256138257;Microeconomics (The Irwin Series in Economics);David C. Colander;1995;McGraw-Hill College;http://images.amazon.com/images/P/0256138257.01.LZZZZZZZ.jpg
0256143153;Basic Marketing (Australia): a Managerial Approach: Australian Edition;McCarthy;1993;McGraw-Hill Education - Europe;http://images.amazon.com/images/P/0256143153.01.LZZZZZZZ.jpg
0256144273;Can Fap Brief Ed;Larson;1993;Irwin;http://images.amazon.com/images/P/0256144273.01.LZZZZZZZ.jpg
0256156034;Complete Business Statistics;Amiro Aczel;1993;McGraw Hill College Div;http://images.amazon.com/images/P/0256156034.01.LZZZZZZZ.jpg
0256160724;Urban Economics (Irwin Series in Economics);Arthur O'Sullivan;1995;Irwin Professional Publishing;http://images.amazon.com/images/P/0256160724.01.LZZZZZZZ.jpg
0256169179;Managerial Accounting (The Irwin Series in Undergraduate Accounting);Ray H. Garrison;1997;McGraw Hill;http://images.amazon.com/images/P/0256169179.01.LZZZZZZZ.jpg
025617718X;Macroeconomics;Colander;1994;Irwin;http://images.amazon.com/images/P/025617718X.01.LZZZZZZZ.jpg
0256189390;Management: Quality and Competitiveness;John M. Ivancevich;1996;McGraw-Hill/Irwin;http://images.amazon.com/images/P/0256189390.01.LZZZZZZZ.jpg
0256194335;Wordperfect 6 1 for Windows (Irwin Advantage Series for Computer Education);Sarah E. Hutchinson;1995;McGraw-Hill Companies;http://images.amazon.com/images/P/0256194335.01.LZZZZZZZ.jpg
0256246408;Corporate Finance (Irwin/Mcgraw-Hill Series in Finance, Insurance, and Real Estate);Stephen A. Ross;1998;McGraw-Hill College;http://images.amazon.com/images/P/0256246408.01.LZZZZZZZ.jpg
0256261180;Marketing Strategy;Orville C. Walker;1998;McGraw-Hill/Irwin;http://images.amazon.com/images/P/0256261180.01.LZZZZZZZ.jpg
0257660623;Meet Mr. Mulliner;P.G. Wodehouse;1979;Hutchinson;http://images.amazon.com/images/P/0257660623.01.LZZZZZZZ.jpg
0261102249;The Return of the Shadow (The History of The Lord of the Rings, Part One) (The History of Middle-Earth - Volume 6);Christopher Tolkien;1994;HarperCollins;http://images.amazon.com/images/P/0261102249.01.LZZZZZZZ.jpg
0261102362;Two Towers Rings Uk;J R R Tolkien;2002;Harpercollins Uk;http://images.amazon.com/images/P/0261102362.01.LZZZZZZZ.jpg
0261102389;The Lord of the Rings;J. R. R. Tolkien;1999;HarperCollins;http://images.amazon.com/images/P/0261102389.01.LZZZZZZZ.jpg
0261102656;Letters of J R R Tolkien;Humphrey Carpenter;2002;Firebird Distributing;http://images.amazon.com/images/P/0261102656.01.LZZZZZZZ.jpg
0261102664;The Hobbit;J. R. R. Tolkien;2000;Harpercollins;http://images.amazon.com/images/P/0261102664.01.LZZZZZZZ.jpg
0261102672;The Journeys of Frodo;Barbara Strachey;1992;HarperCollins;http://images.amazon.com/images/P/0261102672.01.LZZZZZZZ.jpg
0261102753;The Road to Middle-Earth;T. A. Shippey;1992;HarperCollins;http://images.amazon.com/images/P/0261102753.01.LZZZZZZZ.jpg
0261102982;Tolkien's ring;David Day;1994;HarperCollins;http://images.amazon.com/images/P/0261102982.01.LZZZZZZZ.jpg
0261103067;Tolkiens Middle-Earth Postcard Bk;Harpercollins;1994;HarperCollins Publishers;http://images.amazon.com/images/P/0261103067.01.LZZZZZZZ.jpg
0261103288;The Hobbit;J.R.R. Tolkien;1995;HarperCollins;http://images.amazon.com/images/P/0261103288.01.LZZZZZZZ.jpg
0261103431;Tales from the Perilous Realm;J.R.R. Tolkien;1998;HarperCollins;http://images.amazon.com/images/P/0261103431.01.LZZZZZZZ.jpg
0261103555;Finn and Hengest;J R R Tolkien;2002;Firebird Distributing;http://images.amazon.com/images/P/0261103555.01.LZZZZZZZ.jpg
0261103903;Tolkien Diary 2000;Tolkien J.R.R.;1999;HarperCollins;http://images.amazon.com/images/P/0261103903.01.LZZZZZZZ.jpg
0261104004;J.R.R.Tolkien;Tom Shippey;2000;HarperCollins;http://images.amazon.com/images/P/0261104004.01.LZZZZZZZ.jpg
0261104012;J.R.R.Tolkien;Tom Shippey;2001;HarperCollins;http://images.amazon.com/images/P/0261104012.01.LZZZZZZZ.jpg
0261632086;The female eunuch;Germaine Greer;1970;"MacGibbon &amp; Kee";http://images.amazon.com/images/P/0261632086.01.LZZZZZZZ.jpg
0261660004;"\Patriot Games\"" and \""The Hunt for Red October\""""";Tom Clancy;1992;HarperCollins Publishers;http://images.amazon.com/images/P/0261660004.01.LZZZZZZZ.jpg
0261660586;What Katy Did;Susan Coolidge;2002;Harpercollins Publisher;http://images.amazon.com/images/P/0261660586.01.LZZZZZZZ.jpg
0261663682;Diamond Italian Dictionary;Catherine E. Love;1996;Texas Bookman;http://images.amazon.com/images/P/0261663682.01.LZZZZZZZ.jpg
0261663763;The Sea Coast of Britain and Europe;Denys Ovenden;2002;HarperCollins Publishers;http://images.amazon.com/images/P/0261663763.01.LZZZZZZZ.jpg
0261664182;Heartbreak Cafe 2;Harkin. Quin;2002;HarperCollins Publishers Inc;http://images.amazon.com/images/P/0261664182.01.LZZZZZZZ.jpg
0261664271;Dream Science;Thomas Palmer;2002;Harpercollins Publisher;http://images.amazon.com/images/P/0261664271.01.LZZZZZZZ.jpg
0261665782;Tarot Handbook;Angeles Arrien;2002;Fairmount Books Ltd Remainders;http://images.amazon.com/images/P/0261665782.01.LZZZZZZZ.jpg
0261666517;British and Irish mythology: An encyclopedia of myth and legend;Caitlin Matthews;1995;Diamond Books;http://images.amazon.com/images/P/0261666517.01.LZZZZZZZ.jpg
0261666525;Greek Mythology;Stoneman;2002;Harpercollins Publisher;http://images.amazon.com/images/P/0261666525.01.LZZZZZZZ.jpg
026166655X;Pacific Mythology an Encyclopedia of Myth and Lege;Jan Knappert;2002;Harpercollins Publisher;http://images.amazon.com/images/P/026166655X.01.LZZZZZZZ.jpg
0261666614;Fortune Telling By Playing Cards;Nerys Dee;2002;Harpercollins Publisher;http://images.amazon.com/images/P/0261666614.01.LZZZZZZZ.jpg
0261666622;Fortune Telling With Tarot Cards;Stuart R Kaplan;2002;Fairmount Books Ltd Remainders;http://images.amazon.com/images/P/0261666622.01.LZZZZZZZ.jpg
0261667157;When She Was Bad She Was...;Kate O'Mara;1995;Diamond Books;http://images.amazon.com/images/P/0261667157.01.LZZZZZZZ.jpg
0261667904;The Fairy Tales of Ireland;Yeats;2002;HarperCollins Publishers;http://images.amazon.com/images/P/0261667904.01.LZZZZZZZ.jpg
0261668056;Fairy Tales of Ireland;Yeats;2002;Diamond Books;http://images.amazon.com/images/P/0261668056.01.LZZZZZZZ.jpg
026167403X;Wild Flowers of Britain and Europe;W. Lippert;2002;HarperCollins Publishers;http://images.amazon.com/images/P/026167403X.01.LZZZZZZZ.jpg
0262011859;Linguistics: An Introduction to Language and Communication;Adrian Akmajian;2001;The MIT Press;http://images.amazon.com/images/P/0262011859.01.LZZZZZZZ.jpg
0262021285;A sense of the future: Essays in natural philosophy;Jacob Bronowski;1977;MIT Press;http://images.amazon.com/images/P/0262021285.01.LZZZZZZZ.jpg
0262024535;How Language Comes to Children: From Birth to Two Years;Bndicte deBoysson-Bardies;1999;Bradford Books;http://images.amazon.com/images/P/0262024535.01.LZZZZZZZ.jpg
0262024616;Sorting Things Out: Classification and Its Consequences (Inside Technology);Geoffrey C. Bowker;1999;The MIT Press;http://images.amazon.com/images/P/0262024616.01.LZZZZZZZ.jpg
0262031418;Introduction to Algorithms (MIT Electrical Engineering and Computer Science);Thomas H. Cormen;1990;The MIT Press;http://images.amazon.com/images/P/0262031418.01.LZZZZZZZ.jpg
0262032449;The Surrealist Look: An Erotics of Encounter;Mary Ann Caws;1997;The MIT Press;http://images.amazon.com/images/P/0262032449.01.LZZZZZZZ.jpg
0262032937;Introduction to Algorithms, Second Edition;Thomas H. Cormen;2001;The MIT Press;http://images.amazon.com/images/P/0262032937.01.LZZZZZZZ.jpg
0262050595;Investments, Vol. 1: Portfolio Theory and Asset Pricing;Edwin J. Elton;1999;The MIT Press;http://images.amazon.com/images/P/0262050595.01.LZZZZZZZ.jpg
0262060892;Buildings for Music : The Architect, the Musician, and the Listener from the 17th Century to the Present Day;Michael Forsyth;1985;The MIT Press;http://images.amazon.com/images/P/0262060892.01.LZZZZZZZ.jpg
0262061597;Effective Cycling : Sixth Edition;John Forester;1992;The MIT Press;http://images.amazon.com/images/P/0262061597.01.LZZZZZZZ.jpg
0262081881;The New Conservatism : Cultural Criticism and the Historians' Debate (Studies in Contemporary German Social Thought);Jrgen Habermas;1989;The MIT Press;http://images.amazon.com/images/P/0262081881.01.LZZZZZZZ.jpg
0262082713;Space from Zeno to Einstein: Classic Readings with a Contemporary Commentary;Nick Huggett;1999;Bradford Books;http://images.amazon.com/images/P/0262082713.01.LZZZZZZZ.jpg
026210069X;Information Design;Robert Jacobson;1999;The MIT Press;http://images.amazon.com/images/P/026210069X.01.LZZZZZZZ.jpg
0262111152;The Last extinction;Les Kaufman;1986;Published in cooperation with the New England Aquarium [by] the MIT Press;http://images.amazon.com/images/P/0262111152.01.LZZZZZZZ.jpg
0262112108;Pop Internationalism;Paul Krugman;1996;Mit Pr;http://images.amazon.com/images/P/0262112108.01.LZZZZZZZ.jpg
0262112272;Sources of Power: How People Make Decisions;Gary Klein;1998;The MIT Press;http://images.amazon.com/images/P/0262112272.01.LZZZZZZZ.jpg
0262112345;Mind in a Physical World: An Essay on the Mind-Body Problem and Mental Causation (Representation and Mind);Jaegwon Kim;1998;Mit Pr;http://images.amazon.com/images/P/0262112345.01.LZZZZZZZ.jpg
0262121786;The Sexual Brain;Simon LeVay;1993;Bradford Books;http://images.amazon.com/images/P/0262121786.01.LZZZZZZZ.jpg
0262121867;The Trouble with Computers: Usefulness, Usability, and Productivity;Thomas K. Landauer;1995;The MIT Press;http://images.amazon.com/images/P/0262121867.01.LZZZZZZZ.jpg
0262122081;Architect? A Candid Guide to the Profession - Rev'd Edition;Roger K. Lewis;1998;The MIT Press;http://images.amazon.com/images/P/0262122081.01.LZZZZZZZ.jpg
026212209X;The Future of the Electronic Marketplace;Derek Leebaert;1998;The MIT Press;http://images.amazon.com/images/P/026212209X.01.LZZZZZZZ.jpg
0262122634;Design Research : Methods and Perspectives;Brenda Laurel;2003;The MIT Press;http://images.amazon.com/images/P/0262122634.01.LZZZZZZZ.jpg
026213215X;Advanced Database Techniques (Digital Communication);Daniel Martin;1986;The MIT Press;http://images.amazon.com/images/P/026213215X.01.LZZZZZZZ.jpg
0262161125;The Foundations of Cognitive Science;Michael I. Posner;1989;Bradford Books;http://images.amazon.com/images/P/0262161125.01.LZZZZZZZ.jpg
0262161702;Affective Computing;Rosalind W. Picard;1997;The MIT Press;http://images.amazon.com/images/P/0262161702.01.LZZZZZZZ.jpg
0262162180;Turing (A Novel about Computation);Christos H. Papadimitriou;2003;The MIT Press;http://images.amazon.com/images/P/0262162180.01.LZZZZZZZ.jpg
0262181452;The New hacker's dictionary;Guy L. Jr. Steele;1991;MIT Press;http://images.amazon.com/images/P/0262181452.01.LZZZZZZZ.jpg
0262181789;The New Hacker's Dictionary - 3rd Edition;Eric S. Raymond;1996;The MIT Press;http://images.amazon.com/images/P/0262181789.01.LZZZZZZZ.jpg
026218219X;Architectural Encounters with Essence and Form in Modern China;Peter G. Rowe;2002;The MIT Press;http://images.amazon.com/images/P/026218219X.01.LZZZZZZZ.jpg
0262192624;Portraits in Silicon;Robert Slater;1987;MIT Press;http://images.amazon.com/images/P/0262192624.01.LZZZZZZZ.jpg
0262193388;The Art of Prolog, Second Edition: Advanced Programming Techniques (Logic Programming);Leon Sterling;1994;The MIT Press;http://images.amazon.com/images/P/0262193388.01.LZZZZZZZ.jpg
0262194333;The Intellectual Foundation of Information Organization (Digital Libraries and Electronic Publishing);Elaine Svenonius;2000;The MIT Press;http://images.amazon.com/images/P/0262194333.01.LZZZZZZZ.jpg
0262200473;Campus: An American Planning Tradition (Papers of James Tobin);Paul Venable Turner;1984;MIT Press;http://images.amazon.com/images/P/0262200473.01.LZZZZZZZ.jpg
